Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_132_1059,VSS,Metal1,528.9600,521.6400,0.000001
FILLER_132_1052,VSS,Metal1,526.8060,522.1000,0.000001
FILLER_132_1045,VSS,Metal1,523.4460,522.1000,0.000001
FILLER_132_1038,VSS,Metal1,520.0860,522.1000,0.000001
FILLER_132_1031,VSS,Metal1,516.7260,522.1000,0.000001
FILLER_132_1024,VSS,Metal1,513.3660,522.1000,0.000001
FILLER_132_1017,VSS,Metal1,510.0060,522.1000,0.000001
FILLER_132_1010,VSS,Metal1,506.6460,522.1000,0.000001
FILLER_132_1003,VSS,Metal1,503.2860,522.1000,0.000001
FILLER_132_996,VSS,Metal1,499.9260,522.1000,0.000001
FILLER_132_989,VSS,Metal1,496.5660,522.1000,0.000001
FILLER_132_982,VSS,Metal1,493.2060,522.1000,0.000001
FILLER_132_975,VSS,Metal1,489.8460,522.1000,0.000003
FILLER_132_968,VSS,Metal1,486.4860,522.1000,0.000003
FILLER_132_961,VSS,Metal1,483.1260,522.1000,0.000004
FILLER_132_954,VSS,Metal1,479.7660,522.1000,0.000004
FILLER_132_947,VSS,Metal1,476.4060,522.1000,0.000004
FILLER_132_940,VSS,Metal1,473.0460,522.1000,0.000005
FILLER_132_933,VSS,Metal1,469.6860,522.1000,0.000005
FILLER_132_926,VSS,Metal1,466.3260,522.1000,0.000006
FILLER_132_919,VSS,Metal1,462.9660,522.1000,0.000006
FILLER_132_912,VSS,Metal1,459.6060,522.1000,0.000006
FILLER_132_905,VSS,Metal1,456.2460,522.1000,0.000006
FILLER_132_885,VSS,Metal1,445.4400,521.6400,0.000007
FILLER_132_881,VSS,Metal1,443.9880,522.0160,0.000007
FILLER_132_874,VSS,Metal1,441.3660,522.1000,0.000008
FILLER_132_867,VSS,Metal1,438.0060,522.1000,0.000008
FILLER_132_845,VSS,Metal1,427.4460,522.1000,0.000009
FILLER_132_838,VSS,Metal1,424.0860,522.1000,0.000009
FILLER_132_831,VSS,Metal1,420.7260,522.1000,0.000009
FILLER_132_814,VSS,Metal1,411.1200,521.6400,0.000011
FILLER_132_812,VSS,Metal1,410.4000,521.6400,0.000011
FILLER_132_795,VSS,Metal1,402.0000,521.6400,0.000011
FILLER_132_793,VSS,Metal1,401.2800,521.6400,0.000011
FILLER_132_786,VSS,Metal1,399.1260,522.1000,0.000011
FILLER_132_779,VSS,Metal1,395.7660,522.1000,0.000011
FILLER_132_772,VSS,Metal1,392.4060,522.1000,0.000013
FILLER_132_758,VSS,Metal1,384.4800,521.6400,0.000013
FILLER_132_751,VSS,Metal1,382.3260,522.1000,0.000013
FILLER_132_739,VSS,Metal1,376.5660,522.1000,0.000013
FILLER_132_734,VSS,Metal1,372.7200,521.6400,0.000013
FILLER_132_730,VSS,Metal1,371.5080,522.0160,0.000013
FILLER_132_723,VSS,Metal1,368.8860,522.1000,0.000013
FILLER_132_716,VSS,Metal1,365.5260,522.1000,0.000013
FILLER_132_709,VSS,Metal1,362.1660,522.1000,0.000013
FILLER_132_702,VSS,Metal1,358.8060,522.1000,0.000013
FILLER_132_695,VSS,Metal1,355.4460,522.1000,0.000013
FILLER_132_691,VSS,Metal1,352.0800,521.6400,0.000013
FILLER_132_689,VSS,Metal1,351.3600,521.6400,0.000013
FILLER_132_682,VSS,Metal1,349.2060,522.1000,0.000013
FILLER_132_675,VSS,Metal1,345.8460,522.1000,0.000013
FILLER_132_668,VSS,Metal1,342.4860,522.1000,0.000014
FILLER_132_661,VSS,Metal1,339.1260,522.1000,0.000034
FILLER_132_651,VSS,Metal1,333.1200,521.6400,0.000034
FILLER_132_644,VSS,Metal1,330.9660,522.1000,0.000034
FILLER_132_637,VSS,Metal1,327.6060,522.1000,0.000057
FILLER_132_630,VSS,Metal1,324.2460,522.1000,0.000097
FILLER_132_623,VSS,Metal1,320.8860,522.1000,0.000099
FILLER_132_613,VSS,Metal1,314.8800,521.6400,0.000099
FILLER_132_606,VSS,Metal1,312.7260,522.1000,0.000088
FILLER_132_599,VSS,Metal1,309.3660,522.1000,0.000079
FILLER_132_592,VSS,Metal1,306.0060,522.1000,0.000079
FILLER_132_585,VSS,Metal1,302.6460,522.1000,0.000078
FILLER_132_578,VSS,Metal1,299.2860,522.1000,0.000078
FILLER_132_571,VSS,Metal1,295.9260,522.1000,0.000078
FILLER_132_564,VSS,Metal1,292.5660,522.1000,0.000078
FILLER_132_557,VSS,Metal1,289.2060,522.1000,0.000078
FILLER_132_550,VSS,Metal1,285.8460,522.1000,0.000077
FILLER_132_543,VSS,Metal1,282.4860,522.1000,0.000077
FILLER_132_536,VSS,Metal1,279.1260,522.1000,0.000077
FILLER_132_529,VSS,Metal1,275.7660,522.1000,0.000077
FILLER_132_522,VSS,Metal1,272.4060,522.1000,0.000076
FILLER_132_515,VSS,Metal1,269.0460,522.1000,0.000076
FILLER_132_508,VSS,Metal1,265.6860,522.1000,0.000076
FILLER_132_501,VSS,Metal1,262.3260,522.1000,0.000078
FILLER_132_494,VSS,Metal1,258.9660,522.1000,0.000079
FILLER_132_487,VSS,Metal1,255.6060,522.1000,0.000097
FILLER_132_480,VSS,Metal1,252.2460,522.1000,0.000099
FILLER_132_474,VSS,Metal1,248.1600,521.6400,0.000099
FILLER_132_470,VSS,Metal1,246.7080,522.0160,0.000099
FILLER_132_463,VSS,Metal1,244.0860,522.1000,0.000173
FILLER_132_456,VSS,Metal1,240.7260,522.1000,0.000173
FILLER_132_450,VSS,Metal1,236.6400,521.6400,0.000173
FILLER_132_446,VSS,Metal1,235.1880,522.0160,0.000173
FILLER_132_439,VSS,Metal1,232.5660,522.1000,0.000207
FILLER_132_432,VSS,Metal1,229.2060,522.1000,0.000208
FILLER_132_426,VSS,Metal1,225.1200,521.6400,0.000208
FILLER_132_419,VSS,Metal1,222.9660,522.1000,0.000208
FILLER_132_412,VSS,Metal1,219.6060,522.1000,0.000023
FILLER_132_405,VSS,Metal1,216.2460,522.1000,0.000022
FILLER_132_398,VSS,Metal1,212.8860,522.1000,0.000022
FILLER_132_391,VSS,Metal1,209.5260,522.1000,0.000022
FILLER_132_384,VSS,Metal1,206.1660,522.1000,0.000022
FILLER_132_377,VSS,Metal1,202.8060,522.1000,0.000021
FILLER_132_370,VSS,Metal1,199.4460,522.1000,0.000021
FILLER_132_363,VSS,Metal1,196.0860,522.1000,0.000021
FILLER_132_356,VSS,Metal1,192.7260,522.1000,0.000021
FILLER_132_349,VSS,Metal1,189.3660,522.1000,0.000026
FILLER_132_342,VSS,Metal1,186.0060,522.1000,0.000028
FILLER_132_331,VSS,Metal1,180.7260,522.1000,0.000029
FILLER_132_324,VSS,Metal1,177.3660,522.1000,0.000040
FILLER_132_317,VSS,Metal1,174.0060,522.1000,0.000040
FILLER_132_311,VSS,Metal1,169.9200,521.6400,0.000040
FILLER_132_304,VSS,Metal1,167.7660,522.1000,0.000040
FILLER_132_297,VSS,Metal1,164.4060,522.1000,0.000037
FILLER_132_290,VSS,Metal1,161.0460,522.1000,0.000027
FILLER_132_283,VSS,Metal1,157.6860,522.1000,0.000017
FILLER_132_276,VSS,Metal1,154.3260,522.1000,0.000007
FILLER_132_269,VSS,Metal1,150.9660,522.1000,0.000007
FILLER_132_262,VSS,Metal1,147.6060,522.1000,0.000007
FILLER_132_255,VSS,Metal1,144.2460,522.1000,0.000007
FILLER_132_248,VSS,Metal1,140.8860,522.1000,0.000007
FILLER_132_241,VSS,Metal1,137.5260,522.1000,0.000007
FILLER_132_234,VSS,Metal1,134.1660,522.1000,0.000007
FILLER_132_227,VSS,Metal1,130.8060,522.1000,0.000007
FILLER_132_220,VSS,Metal1,127.4460,522.1000,0.000007
FILLER_132_213,VSS,Metal1,124.0860,522.1000,0.000007
FILLER_132_206,VSS,Metal1,120.7260,522.1000,0.000007
FILLER_132_199,VSS,Metal1,117.3660,522.1000,0.000007
FILLER_132_192,VSS,Metal1,114.0060,522.1000,0.000007
FILLER_132_185,VSS,Metal1,110.6460,522.1000,0.000007
FILLER_132_178,VSS,Metal1,107.2860,522.1000,0.000016
FILLER_132_171,VSS,Metal1,103.9260,522.1000,0.000019
FILLER_132_164,VSS,Metal1,100.5660,522.1000,0.000021
FILLER_132_157,VSS,Metal1,97.2060,522.1000,0.000022
FILLER_132_150,VSS,Metal1,93.8460,522.1000,0.000027
FILLER_132_131,VSS,Metal1,84.7260,522.1000,0.000040
FILLER_132_124,VSS,Metal1,81.3660,522.1000,0.000040
FILLER_132_119,VSS,Metal1,77.5200,521.6400,0.000040
FILLER_132_112,VSS,Metal1,75.6060,522.1000,0.000040
FILLER_132_105,VSS,Metal1,72.2460,522.1000,0.000012
FILLER_132_98,VSS,Metal1,68.8860,522.1000,0.000012
FILLER_132_91,VSS,Metal1,65.5260,522.1000,0.000011
FILLER_132_84,VSS,Metal1,62.1660,522.1000,0.000011
FILLER_132_77,VSS,Metal1,58.8060,522.1000,0.000010
FILLER_132_70,VSS,Metal1,55.4460,522.1000,0.000010
FILLER_132_63,VSS,Metal1,52.0860,522.1000,0.000009
FILLER_132_56,VSS,Metal1,48.7260,522.1000,0.000008
FILLER_132_49,VSS,Metal1,45.3660,522.1000,0.000008
FILLER_132_42,VSS,Metal1,42.0060,522.1000,0.000007
FILLER_132_35,VSS,Metal1,38.6460,522.1000,0.000007
FILLER_132_28,VSS,Metal1,35.2860,522.1000,0.000007
FILLER_132_21,VSS,Metal1,31.9260,522.1000,0.000007
FILLER_132_14,VSS,Metal1,28.5660,522.1000,0.000007
FILLER_132_7,VSS,Metal1,25.2060,522.1000,0.000007
FILLER_132_0,VSS,Metal1,21.8460,522.1000,0.000007
FILLER_131_1060,VSS,Metal1,529.2000,521.6400,0.000001
FILLER_131_1058,VSS,Metal1,528.4800,521.6400,0.000001
FILLER_131_1051,VSS,Metal1,526.3260,521.1790,0.000001
FILLER_131_1044,VSS,Metal1,522.9660,521.1790,0.000001
FILLER_131_1037,VSS,Metal1,519.6060,521.1790,0.000001
FILLER_131_1030,VSS,Metal1,516.2460,521.1790,0.000001
FILLER_131_1023,VSS,Metal1,512.8860,521.1790,0.000001
FILLER_131_1016,VSS,Metal1,509.5260,521.1790,0.000001
FILLER_131_1009,VSS,Metal1,506.1660,521.1790,0.000001
FILLER_131_1002,VSS,Metal1,502.8060,521.1790,0.000001
FILLER_131_995,VSS,Metal1,499.4460,521.1790,0.000001
FILLER_131_988,VSS,Metal1,496.0860,521.1790,0.000001
FILLER_131_981,VSS,Metal1,492.7260,521.1790,0.000001
FILLER_131_976,VSS,Metal1,488.8800,521.6400,0.000003
FILLER_131_972,VSS,Metal1,487.6680,521.2630,0.000003
FILLER_131_960,VSS,Metal1,481.9080,521.2630,0.000004
FILLER_131_953,VSS,Metal1,479.2860,521.1790,0.000004
FILLER_131_946,VSS,Metal1,475.9260,521.1790,0.000004
FILLER_131_939,VSS,Metal1,472.5660,521.1790,0.000005
FILLER_131_932,VSS,Metal1,469.2060,521.1790,0.000005
FILLER_131_926,VSS,Metal1,464.8800,521.6400,0.000006
FILLER_131_919,VSS,Metal1,462.9660,521.1790,0.000006
FILLER_131_912,VSS,Metal1,459.6060,521.1790,0.000006
FILLER_131_890,VSS,Metal1,447.6000,521.6400,0.000007
FILLER_131_873,VSS,Metal1,439.4400,521.6400,0.000008
FILLER_131_871,VSS,Metal1,438.7200,521.6400,0.000008
FILLER_131_840,VSS,Metal1,423.8400,521.6400,0.000009
FILLER_131_836,VSS,Metal1,422.3880,521.2630,0.000009
FILLER_131_829,VSS,Metal1,418.5600,521.6400,0.000009
FILLER_131_792,VSS,Metal1,400.8000,521.6400,0.000011
FILLER_131_788,VSS,Metal1,399.3480,521.2630,0.000011
FILLER_131_748,VSS,Metal1,379.4400,521.6400,0.000013
FILLER_131_746,VSS,Metal1,378.7200,521.6400,0.000013
FILLER_131_729,VSS,Metal1,370.3200,521.6400,0.000013
FILLER_131_727,VSS,Metal1,369.6000,521.6400,0.000013
FILLER_131_714,VSS,Metal1,363.3600,521.6400,0.000013
FILLER_131_710,VSS,Metal1,361.9080,521.2630,0.000013
FILLER_131_705,VSS,Metal1,358.8000,521.6400,0.000013
FILLER_131_703,VSS,Metal1,358.0800,521.6400,0.000013
FILLER_131_683,VSS,Metal1,348.2400,521.6400,0.000013
FILLER_131_681,VSS,Metal1,347.5200,521.6400,0.000013
FILLER_131_674,VSS,Metal1,345.3660,521.1790,0.000013
FILLER_131_641,VSS,Metal1,328.3200,521.6400,0.000057
FILLER_131_637,VSS,Metal1,326.8680,521.2630,0.000057
FILLER_131_603,VSS,Metal1,310.5480,521.2630,0.000079
FILLER_131_596,VSS,Metal1,307.9260,521.1790,0.000079
FILLER_131_589,VSS,Metal1,304.5660,521.1790,0.000078
FILLER_131_582,VSS,Metal1,301.2060,521.1790,0.000078
FILLER_131_575,VSS,Metal1,297.8460,521.1790,0.000078
FILLER_131_568,VSS,Metal1,294.4860,521.1790,0.000078
FILLER_131_561,VSS,Metal1,291.1260,521.1790,0.000078
FILLER_131_554,VSS,Metal1,287.7660,521.1790,0.000077
FILLER_131_547,VSS,Metal1,284.4060,521.1790,0.000077
FILLER_131_540,VSS,Metal1,281.0460,521.1790,0.000077
FILLER_131_533,VSS,Metal1,277.6860,521.1790,0.000077
FILLER_131_526,VSS,Metal1,274.3260,521.1790,0.000076
FILLER_131_519,VSS,Metal1,270.9660,521.1790,0.000076
FILLER_131_512,VSS,Metal1,267.6060,521.1790,0.000076
FILLER_131_505,VSS,Metal1,264.2460,521.1790,0.000078
FILLER_131_498,VSS,Metal1,260.8860,521.1790,0.000079
FILLER_131_416,VSS,Metal1,220.0800,521.6400,0.000023
FILLER_131_409,VSS,Metal1,218.1660,521.1790,0.000022
FILLER_131_402,VSS,Metal1,214.8060,521.1790,0.000022
FILLER_131_395,VSS,Metal1,211.4460,521.1790,0.000022
FILLER_131_388,VSS,Metal1,208.0860,521.1790,0.000022
FILLER_131_381,VSS,Metal1,204.7260,521.1790,0.000021
FILLER_131_374,VSS,Metal1,201.3660,521.1790,0.000021
FILLER_131_367,VSS,Metal1,198.0060,521.1790,0.000021
FILLER_131_360,VSS,Metal1,194.6460,521.1790,0.000021
FILLER_131_305,VSS,Metal1,166.8000,521.6400,0.000040
FILLER_131_303,VSS,Metal1,166.0800,521.6400,0.000039
FILLER_131_296,VSS,Metal1,163.9260,521.1790,0.000037
FILLER_131_289,VSS,Metal1,160.5660,521.1790,0.000027
FILLER_131_282,VSS,Metal1,157.2060,521.1790,0.000017
FILLER_131_271,VSS,Metal1,151.9260,521.1790,0.000007
FILLER_131_264,VSS,Metal1,148.5660,521.1790,0.000007
FILLER_131_257,VSS,Metal1,145.2060,521.1790,0.000007
FILLER_131_250,VSS,Metal1,141.8460,521.1790,0.000007
FILLER_131_243,VSS,Metal1,138.4860,521.1790,0.000007
FILLER_131_236,VSS,Metal1,135.1260,521.1790,0.000007
FILLER_131_229,VSS,Metal1,131.7660,521.1790,0.000007
FILLER_131_222,VSS,Metal1,128.4060,521.1790,0.000007
FILLER_131_215,VSS,Metal1,125.0460,521.1790,0.000007
FILLER_131_208,VSS,Metal1,121.6860,521.1790,0.000007
FILLER_131_201,VSS,Metal1,118.3260,521.1790,0.000007
FILLER_131_194,VSS,Metal1,114.9660,521.1790,0.000007
FILLER_131_187,VSS,Metal1,111.6060,521.1790,0.000007
FILLER_131_173,VSS,Metal1,103.4400,521.6400,0.000019
FILLER_131_171,VSS,Metal1,102.7200,521.6400,0.000019
FILLER_131_164,VSS,Metal1,100.5660,521.1790,0.000021
FILLER_131_157,VSS,Metal1,97.2060,521.1790,0.000022
FILLER_131_109,VSS,Metal1,72.9600,521.6400,0.000012
FILLER_131_102,VSS,Metal1,70.8060,521.1790,0.000012
FILLER_131_95,VSS,Metal1,67.4460,521.1790,0.000011
FILLER_131_88,VSS,Metal1,64.0860,521.1790,0.000011
FILLER_131_81,VSS,Metal1,60.7260,521.1790,0.000010
FILLER_131_74,VSS,Metal1,57.3660,521.1790,0.000010
FILLER_131_67,VSS,Metal1,54.0060,521.1790,0.000009
FILLER_131_60,VSS,Metal1,50.6460,521.1790,0.000008
FILLER_131_53,VSS,Metal1,47.2860,521.1790,0.000008
FILLER_131_46,VSS,Metal1,43.9260,521.1790,0.000007
FILLER_131_39,VSS,Metal1,40.5660,521.1790,0.000007
FILLER_131_32,VSS,Metal1,37.2060,521.1790,0.000007
FILLER_131_25,VSS,Metal1,33.8460,521.1790,0.000007
FILLER_131_18,VSS,Metal1,30.4860,521.1790,0.000007
FILLER_131_11,VSS,Metal1,27.1260,521.1790,0.000007
FILLER_131_4,VSS,Metal1,23.7660,521.1790,0.000007
FILLER_130_1060,VSS,Metal1,529.2000,514.0800,0.000010
FILLER_130_1053,VSS,Metal1,527.2860,514.5400,0.000010
FILLER_130_1046,VSS,Metal1,523.9260,514.5400,0.000010
FILLER_130_1039,VSS,Metal1,520.5660,514.5400,0.000010
FILLER_130_1032,VSS,Metal1,517.2060,514.5400,0.000010
FILLER_130_1025,VSS,Metal1,513.8460,514.5400,0.000010
FILLER_130_1018,VSS,Metal1,510.4860,514.5400,0.000010
FILLER_130_1011,VSS,Metal1,507.1260,514.5400,0.000010
FILLER_130_1004,VSS,Metal1,503.7660,514.5400,0.000010
FILLER_130_997,VSS,Metal1,500.4060,514.5400,0.000010
FILLER_130_990,VSS,Metal1,497.0460,514.5400,0.000010
FILLER_130_956,VSS,Metal1,479.5200,514.0800,0.000018
FILLER_130_939,VSS,Metal1,471.1200,514.0800,0.000021
FILLER_130_937,VSS,Metal1,470.4000,514.0800,0.000022
FILLER_130_928,VSS,Metal1,465.8400,514.0800,0.000022
FILLER_130_897,VSS,Metal1,451.2000,514.0800,0.000027
FILLER_130_887,VSS,Metal1,446.4000,514.0800,0.000040
FILLER_130_877,VSS,Metal1,441.6000,514.0800,0.000040
FILLER_130_873,VSS,Metal1,440.1480,514.4560,0.000040
